video_id,binary_label,processed_path,split_in_distribution
3Xd6PxEvbNk_3_00.mp4,1,e:\Rads\Datasets\processed\picek_sorted\trimmed\positive\real\3Xd6PxEvbNk_3_00.mp4,test
s80RaghtMRk_02.mp4,1,e:\Rads\Datasets\processed\picek_sorted\trimmed\positive\real\s80RaghtMRk_02.mp4,test
vtXjJLurYMY_00.mp4,1,e:\Rads\Datasets\processed\picek_sorted\trimmed\positive\real\vtXjJLurYMY_00.mp4,test
91JpOFnaiD4_00.mp4,1,e:\Rads\Datasets\processed\picek_sorted\trimmed\positive\real\91JpOFnaiD4_00.mp4,test
93SNo1CTA_w_00.mp4,1,e:\Rads\Datasets\processed\picek_sorted\trimmed\positive\real\93SNo1CTA_w_00.mp4,test
qfCt6R_rTMY_00.mp4,1,e:\Rads\Datasets\processed\picek_sorted\trimmed\positive\real\qfCt6R_rTMY_00.mp4,test
yS19DGEwcO4_00.mp4,1,e:\Rads\Datasets\processed\picek_sorted\trimmed\positive\real\yS19DGEwcO4_00.mp4,test
_Bm8NYVbTN4_00.mp4,1,e:\Rads\Datasets\processed\picek_sorted\trimmed\positive\real\_Bm8NYVbTN4_00.mp4,test
e17Wq4Hpqlk_01.mp4,1,e:\Rads\Datasets\processed\picek_sorted\trimmed\positive\real\e17Wq4Hpqlk_01.mp4,test
fy1ZkNZQhWA_00.mp4,1,e:\Rads\Datasets\processed\picek_sorted\trimmed\positive\real\fy1ZkNZQhWA_00.mp4,test
AuQz_-J2kzc_5_00.mp4,1,e:\Rads\Datasets\processed\picek_sorted\trimmed\positive\real\AuQz_-J2kzc_5_00.mp4,test
LVrfZ4HLlR4_00.mp4,1,e:\Rads\Datasets\processed\picek_sorted\trimmed\positive\real\LVrfZ4HLlR4_00.mp4,test
vqIPnFuQ22c_00.mp4,1,e:\Rads\Datasets\processed\picek_sorted\trimmed\positive\real\vqIPnFuQ22c_00.mp4,test
1_iNUkyy46E_00.mp4,1,e:\Rads\Datasets\processed\picek_sorted\trimmed\positive\real\1_iNUkyy46E_00.mp4,test
6nM9m2VkeYk_00.mp4,1,e:\Rads\Datasets\processed\picek_sorted\trimmed\positive\real\6nM9m2VkeYk_00.mp4,test
sckLwIfeCT4_00.mp4,1,e:\Rads\Datasets\processed\picek_sorted\trimmed\positive\real\sckLwIfeCT4_00.mp4,test
HFgLNfSjd6g_00.mp4,1,e:\Rads\Datasets\processed\picek_sorted\trimmed\positive\real\HFgLNfSjd6g_00.mp4,test
